,fips,Recip_County,ST,Vax_Pct
317,10003,New Castle County,DE,70.8
318,10005,Sussex County,DE,70.3
319,11001,District of Columbia,DC,75.3
320,12001,Alachua County,FL,67.7
321,12003,Baker County,FL,37.1
322,12005,Bay County,FL,54.2
323,12007,Bradford County,FL,46.2
324,12009,Brevard County,FL,65.9
325,12011,Broward County,FL,72.6
326,12013,Calhoun County,FL,35.3
327,12015,Charlotte County,FL,66.7
328,12017,Citrus County,FL,57.2
329,12019,Clay County,FL,55.1
330,12021,Collier County,FL,71.6
331,12023,Columbia County,FL,42.7
332,12027,DeSoto County,FL,48.2
333,12029,Dixie County,FL,35.1
334,12031,Duval County,FL,62.1
335,12033,Escambia County,FL,56.6
336,12035,Flagler County,FL,64.7
337,12037,Franklin County,FL,49.0
338,12039,Gadsden County,FL,59.1
339,12041,Gilchrist County,FL,37.3
340,12043,Glades County,FL,34.5
341,12045,Gulf County,FL,53.2
342,12047,Hamilton County,FL,35.6
343,12049,Hardee County,FL,43.6
344,12051,Hendry County,FL,51.0
345,12053,Hernando County,FL,55.8
346,12055,Highlands County,FL,53.4
347,12057,Hillsborough County,FL,64.3
348,12059,Holmes County,FL,30.0
349,12061,Indian River County,FL,68.5
350,12063,Jackson County,FL,44.1
351,12065,Jefferson County,FL,60.4
352,12067,Lafayette County,FL,40.1
353,12069,Lake County,FL,67.2
354,12071,Lee County,FL,63.3
355,12073,Leon County,FL,57.9
356,12075,Levy County,FL,48.0
357,12077,Liberty County,FL,34.5
358,12079,Madison County,FL,46.9
359,12081,Manatee County,FL,63.1
360,12083,Marion County,FL,57.9
361,12085,Martin County,FL,64.7
362,12086,Miami-Dade County,FL,86.8
363,12087,Monroe County,FL,79.6
364,12089,Nassau County,FL,58.9
365,12091,Okaloosa County,FL,64.9
366,12093,Okeechobee County,FL,47.3
367,12095,Orange County,FL,70.8
368,12097,Osceola County,FL,74.7
369,12099,Palm Beach County,FL,67.5
370,12101,Pasco County,FL,60.2
371,12103,Pinellas County,FL,65.8
372,12105,Polk County,FL,58.5
373,12107,Putnam County,FL,42.8
374,12109,St. Johns County,FL,71.5
375,12111,St. Lucie County,FL,59.6
376,12113,Santa Rosa County,FL,55.0
377,12115,Sarasota County,FL,71.3
378,12117,Seminole County,FL,63.1
379,12119,Sumter County,FL,81.7
380,12121,Suwannee County,FL,39.0
381,12123,Taylor County,FL,40.9
382,12125,Union County,FL,36.3
383,12127,Volusia County,FL,60.7
384,12129,Wakulla County,FL,45.6
385,12131,Walton County,FL,50.1
386,12133,Washington County,FL,33.1
387,13001,Appling County,GA,36.5
388,13003,Atkinson County,GA,40.4
389,13005,Bacon County,GA,31.1
390,13007,Baker County,GA,52.2
391,13009,Baldwin County,GA,45.0
392,13011,Banks County,GA,31.0
393,13013,Barrow County,GA,41.0
394,13015,Bartow County,GA,37.9
395,13017,Ben Hill County,GA,39.3
396,13019,Berrien County,GA,34.5
397,13021,Bibb County,GA,47.0
398,13023,Bleckley County,GA,37.2
399,13025,Brantley County,GA,26.5
400,13027,Brooks County,GA,49.1
401,13029,Bryan County,GA,54.9
402,13031,Bulloch County,GA,35.0
403,13033,Burke County,GA,58.3
404,13035,Butts County,GA,34.9
405,13037,Calhoun County,GA,49.5
406,13039,Camden County,GA,57.0
407,13043,Candler County,GA,43.0
408,13045,Carroll County,GA,38.5
409,13047,Catoosa County,GA,45.3
410,13049,Charlton County,GA,25.8
411,13051,Chatham County,GA,57.4
412,13053,Chattahoochee County,GA,95.0
413,13055,Chattooga County,GA,38.8
414,13057,Cherokee County,GA,50.6
415,13059,Clarke County,GA,47.5
416,13061,Clay County,GA,67.6
417,13063,Clayton County,GA,44.9
418,13065,Clinch County,GA,40.8
419,13067,Cobb County,GA,59.5
420,13069,Coffee County,GA,37.9
421,13071,Colquitt County,GA,40.8
422,13073,Columbia County,GA,51.7
423,13075,Cook County,GA,41.8
424,13077,Coweta County,GA,45.4
425,13079,Crawford County,GA,41.6
426,13081,Crisp County,GA,44.5
427,13083,Dade County,GA,47.4
428,13085,Dawson County,GA,40.4
429,13087,Decatur County,GA,50.0
430,13089,DeKalb County,GA,57.8
431,13091,Dodge County,GA,36.1
432,13093,Dooly County,GA,38.1
433,13095,Dougherty County,GA,50.3
434,13097,Douglas County,GA,47.3
435,13099,Early County,GA,49.8
436,13101,Echols County,GA,31.5
437,13103,Effingham County,GA,39.2
438,13105,Elbert County,GA,42.9
439,13107,Emanuel County,GA,41.0
440,13109,Evans County,GA,41.2
441,13111,Fannin County,GA,42.8
442,13113,Fayette County,GA,63.3
443,13115,Floyd County,GA,43.2
444,13117,Forsyth County,GA,53.9
445,13119,Franklin County,GA,36.7
446,13121,Fulton County,GA,57.5
447,13123,Gilmer County,GA,41.5
448,13125,Glascock County,GA,33.6
449,13127,Glynn County,GA,52.3
450,13129,Gordon County,GA,38.3
451,13131,Grady County,GA,44.7
452,13133,Greene County,GA,55.6
453,13135,Gwinnett County,GA,56.1
454,13137,Habersham County,GA,40.7
455,13139,Hall County,GA,46.0
456,13141,Hancock County,GA,49.2
457,13143,Haralson County,GA,33.9
458,13145,Harris County,GA,49.3
459,13147,Hart County,GA,38.9
460,13149,Heard County,GA,29.0
461,13151,Henry County,GA,45.3
462,13153,Houston County,GA,51.4
463,13155,Irwin County,GA,37.4
464,13157,Jackson County,GA,43.0
465,13159,Jasper County,GA,35.6
466,13161,Jeff Davis County,GA,31.6
467,13163,Jefferson County,GA,54.9
468,13165,Jenkins County,GA,38.5
469,13167,Johnson County,GA,35.9
470,13169,Jones County,GA,44.5
471,13171,Lamar County,GA,35.3
472,13173,Lanier County,GA,27.6
473,13175,Laurens County,GA,47.5
474,13177,Lee County,GA,47.2
475,13179,Liberty County,GA,67.3
476,13181,Lincoln County,GA,46.9
477,13183,Long County,GA,22.1
478,13185,Lowndes County,GA,40.7
479,13187,Lumpkin County,GA,35.1
480,13189,McDuffie County,GA,45.7
481,13191,McIntosh County,GA,42.1
482,13193,Macon County,GA,43.9
483,13195,Madison County,GA,43.9
484,13197,Marion County,GA,42.1
485,13199,Meriwether County,GA,42.4
486,13201,Miller County,GA,55.2
487,13205,Mitchell County,GA,48.8
488,13207,Monroe County,GA,42.8
489,13209,Montgomery County,GA,36.5
490,13211,Morgan County,GA,46.1
491,13213,Murray County,GA,37.8
492,13215,Muscogee County,GA,45.9
493,13217,Newton County,GA,43.1
494,13219,Oconee County,GA,58.0
495,13221,Oglethorpe County,GA,42.9
496,13223,Paulding County,GA,38.1
497,13225,Peach County,GA,46.2
498,13227,Pickens County,GA,42.2
499,13229,Pierce County,GA,34.1
500,13231,Pike County,GA,33.1
501,13233,Polk County,GA,39.6
502,13235,Pulaski County,GA,37.9
503,13237,Putnam County,GA,43.9
504,13239,Quitman County,GA,34.1
505,13241,Rabun County,GA,46.8
506,13243,Randolph County,GA,47.6
507,13245,Richmond County,GA,50.5
508,13247,Rockdale County,GA,51.6
509,13249,Schley County,GA,35.6
510,13251,Screven County,GA,49.1
511,13253,Seminole County,GA,46.3
512,13255,Spalding County,GA,41.2
513,13257,Stephens County,GA,42.1
514,13259,Stewart County,GA,33.2
515,13261,Sumter County,GA,53.0
516,13263,Talbot County,GA,49.2
517,13265,Taliaferro County,GA,51.3
518,13267,Tattnall County,GA,33.5
519,13269,Taylor County,GA,46.4
520,13271,Telfair County,GA,29.8
521,13273,Terrell County,GA,59.0
522,13275,Thomas County,GA,49.8
523,13277,Tift County,GA,41.3
524,13279,Toombs County,GA,42.6
525,13281,Towns County,GA,49.5
526,13283,Treutlen County,GA,35.8
527,13285,Troup County,GA,37.6
528,13287,Turner County,GA,50.8
529,13289,Twiggs County,GA,55.0
530,13291,Union County,GA,46.3
531,13293,Upson County,GA,46.1
532,13295,Walker County,GA,42.6
533,13297,Walton County,GA,42.1
534,13299,Ware County,GA,39.2
535,13301,Warren County,GA,49.0
536,13303,Washington County,GA,44.8
537,13305,Wayne County,GA,42.8
538,13307,Webster County,GA,44.6
539,13309,Wheeler County,GA,27.0
540,13311,White County,GA,36.3
541,13313,Whitfield County,GA,44.2
542,13315,Wilcox County,GA,37.0
543,13317,Wilkes County,GA,49.1
544,13319,Wilkinson County,GA,51.8
545,13321,Worth County,GA,42.1
551,16001,Ada County,ID,65.9
552,16003,Adams County,ID,44.5
553,16005,Bannock County,ID,53.5
554,16007,Bear Lake County,ID,47.1
555,16009,Benewah County,ID,53.7
556,16011,Bingham County,ID,49.3
557,16013,Blaine County,ID,83.5
558,16015,Boise County,ID,34.1
559,16017,Bonner County,ID,43.9
560,16019,Bonneville County,ID,54.6
561,16021,Boundary County,ID,35.8
562,16023,Butte County,ID,50.1
563,16025,Camas County,ID,43.9
564,16027,Canyon County,ID,47.5
565,16029,Caribou County,ID,40.8
566,16031,Cassia County,ID,44.1
567,16033,Clark County,ID,43.1
568,16035,Clearwater County,ID,43.4
569,16037,Custer County,ID,48.0
570,16039,Elmore County,ID,55.9
571,16041,Franklin County,ID,45.6
572,16043,Fremont County,ID,46.2
573,16045,Gem County,ID,40.8
574,16047,Gooding County,ID,45.2
575,16049,Idaho County,ID,31.2
576,16051,Jefferson County,ID,43.8
577,16053,Jerome County,ID,47.1
578,16055,Kootenai County,ID,47.3
579,16057,Latah County,ID,60.6
580,16059,Lemhi County,ID,48.1
581,16061,Lewis County,ID,53.3
582,16063,Lincoln County,ID,42.2
583,16065,Madison County,ID,56.0
584,16067,Minidoka County,ID,44.0
585,16069,Nez Perce County,ID,57.8
586,16071,Oneida County,ID,47.1
587,16073,Owyhee County,ID,36.2
588,16075,Payette County,ID,32.5
589,16077,Power County,ID,52.2
590,16079,Shoshone County,ID,43.7
591,16081,Teton County,ID,63.7
592,16083,Twin Falls County,ID,50.9
593,16085,Valley County,ID,63.2
594,16087,Washington County,ID,40.7
595,17001,Adams County,IL,53.0
596,17003,Alexander County,IL,34.3
597,17005,Bond County,IL,55.9
598,17007,Boone County,IL,62.0
599,17009,Brown County,IL,54.2
600,17011,Bureau County,IL,58.1
601,17013,Calhoun County,IL,52.8
602,17015,Carroll County,IL,66.7
603,17017,Cass County,IL,62.9
604,17019,Champaign County,IL,66.1
605,17021,Christian County,IL,49.7
606,17023,Clark County,IL,50.8
607,17025,Clay County,IL,38.8
608,17027,Clinton County,IL,60.5
609,17029,Coles County,IL,47.0
610,17031,Cook County,IL,73.7
611,17033,Crawford County,IL,52.1
612,17035,Cumberland County,IL,39.9
613,17037,DeKalb County,IL,57.3
614,17039,De Witt County,IL,53.7
615,17041,Douglas County,IL,50.0
616,17043,DuPage County,IL,78.1
617,17045,Edgar County,IL,49.9
618,17047,Edwards County,IL,41.1
619,17049,Effingham County,IL,49.8
620,17051,Fayette County,IL,36.7
621,17053,Ford County,IL,58.6
622,17055,Franklin County,IL,45.6
623,17057,Fulton County,IL,58.2
624,17059,Gallatin County,IL,55.9
625,17061,Greene County,IL,44.5
626,17063,Grundy County,IL,58.6
627,17065,Hamilton County,IL,40.0
628,17067,Hancock County,IL,49.8
629,17069,Hardin County,IL,42.6
630,17071,Henderson County,IL,50.9
631,17073,Henry County,IL,60.2
632,17075,Iroquois County,IL,51.8
633,17077,Jackson County,IL,53.0
634,17079,Jasper County,IL,42.4
635,17081,Jefferson County,IL,47.8
636,17083,Jersey County,IL,56.5
637,17085,Jo Daviess County,IL,80.1
638,17087,Johnson County,IL,52.8
639,17089,Kane County,IL,68.1
640,17091,Kankakee County,IL,53.2
641,17093,Kendall County,IL,70.1
642,17095,Knox County,IL,60.1
643,17097,Lake County,IL,80.0
644,17099,LaSalle County,IL,59.1
645,17101,Lawrence County,IL,41.6
646,17103,Lee County,IL,60.5
647,17105,Livingston County,IL,51.4
648,17107,Logan County,IL,54.4
649,17109,McDonough County,IL,48.9
650,17111,McHenry County,IL,68.1
651,17113,McLean County,IL,64.9
652,17115,Macon County,IL,54.0
653,17117,Macoupin County,IL,55.4
654,17119,Madison County,IL,63.2
655,17121,Marion County,IL,46.5
656,17123,Marshall County,IL,58.0
657,17125,Mason County,IL,54.5
658,17127,Massac County,IL,42.0
659,17129,Menard County,IL,57.9
660,17131,Mercer County,IL,61.4
661,17133,Monroe County,IL,63.4
662,17135,Montgomery County,IL,52.1
663,17137,Morgan County,IL,55.4
664,17139,Moultrie County,IL,44.6
665,17141,Ogle County,IL,58.8
666,17143,Peoria County,IL,62.5
667,17145,Perry County,IL,51.5
668,17147,Piatt County,IL,63.2
669,17149,Pike County,IL,41.6
670,17151,Pope County,IL,36.2
671,17153,Pulaski County,IL,43.9
672,17155,Putnam County,IL,58.3
673,17157,Randolph County,IL,52.8
674,17159,Richland County,IL,48.8
675,17161,Rock Island County,IL,60.0
676,17163,St. Clair County,IL,64.5
677,17165,Saline County,IL,49.3
678,17167,Sangamon County,IL,66.1
679,17169,Schuyler County,IL,56.4
680,17171,Scott County,IL,42.6
681,17173,Shelby County,IL,42.5
682,17175,Stark County,IL,54.3
683,17177,Stephenson County,IL,61.9
684,17179,Tazewell County,IL,59.9
685,17181,Union County,IL,57.7
686,17183,Vermilion County,IL,46.5
687,17185,Wabash County,IL,50.3
688,17187,Warren County,IL,50.4
689,17189,Washington County,IL,59.4
690,17191,Wayne County,IL,39.9
691,17193,White County,IL,52.9
692,17195,Whiteside County,IL,58.8
693,17197,Will County,IL,68.8
694,17199,Williamson County,IL,56.5
695,17201,Winnebago County,IL,59.2
696,17203,Woodford County,IL,55.4
697,18001,Adams County,IN,34.2
