,fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
410,13013,GA,2.9,"64,460"
411,13015,GA,3.5,"64,980"
412,13017,GA,5.2,"39,305"
413,13019,GA,3.7,"45,094"
414,13021,GA,5.0,"44,467"
415,13023,GA,5.0,"51,448"
416,13025,GA,3.6,"39,256"
417,13027,GA,3.7,"42,973"
418,13029,GA,2.9,"81,890"
419,13031,GA,4.1,"48,629"
420,13033,GA,5.8,"44,870"
421,13035,GA,3.6,"52,720"
422,13037,GA,4.0,"37,984"
423,13039,GA,3.2,"67,525"
424,13043,GA,3.0,"42,583"
425,13045,GA,3.7,"64,554"
426,13047,GA,2.7,"61,906"
427,13049,GA,3.2,"46,061"
428,13051,GA,4.3,"56,357"
429,13053,GA,4.5,"51,811"
430,13055,GA,4.8,"44,399"
431,13057,GA,2.6,"90,675"
432,13059,GA,3.8,"46,693"
433,13061,GA,10.2,"35,937"
434,13063,GA,6.5,"49,370"
435,13065,GA,2.9,"43,088"
436,13067,GA,3.3,"81,517"
437,13069,GA,4.1,"44,520"
438,13071,GA,3.2,"41,673"
439,13073,GA,2.7,"87,489"
440,13075,GA,3.4,"35,225"
441,13077,GA,3.4,"84,121"
442,13079,GA,3.7,"48,184"
443,13081,GA,8.6,"36,871"
444,13083,GA,2.6,"41,069"
445,13085,GA,2.7,"75,081"
446,13087,GA,3.7,"42,996"
447,13089,GA,4.6,"69,545"
448,13091,GA,4.2,"42,683"
449,13093,GA,7.3,"45,112"
450,13095,GA,6.4,"40,793"
451,13097,GA,4.4,"65,269"
452,13099,GA,5.0,"39,697"
453,13101,GA,2.7,"45,378"
454,13103,GA,2.9,"77,690"
455,13105,GA,4.9,"43,553"
456,13107,GA,5.3,"36,243"
457,13109,GA,3.5,"51,018"
458,13111,GA,2.8,"44,730"
459,13113,GA,2.9,"98,623"
460,13115,GA,3.7,"47,423"
461,13117,GA,2.5,"116,690"
462,13119,GA,3.7,"47,706"
463,13121,GA,4.7,"71,504"
464,13123,GA,3.0,"66,066"
465,13125,GA,2.6,"50,800"
466,13127,GA,3.8,"59,286"
467,13129,GA,3.2,"54,915"
468,13131,GA,3.1,"54,601"
469,13133,GA,3.7,"61,857"
470,13135,GA,3.5,"73,460"
471,13137,GA,3.6,"61,071"
472,13139,GA,2.7,"67,735"
473,13141,GA,6.4,"36,424"
474,13143,GA,3.5,"51,431"
475,13145,GA,2.9,"81,151"
476,13147,GA,3.9,"52,401"
477,13149,GA,3.9,"51,532"
478,13151,GA,4.2,"69,620"
479,13153,GA,3.6,"69,442"
480,13155,GA,4.5,"47,492"
481,13157,GA,2.4,"70,960"
482,13159,GA,3.2,"57,796"
483,13161,GA,4.0,"44,417"
484,13163,GA,4.7,"40,333"
485,13165,GA,4.7,"38,306"
486,13167,GA,3.5,"36,358"
487,13169,GA,3.1,"64,812"
488,13171,GA,4.2,"55,024"
489,13173,GA,3.8,"35,215"
490,13175,GA,4.3,"46,690"
491,13177,GA,3.1,"74,640"
492,13179,GA,4.0,"49,788"
493,13181,GA,4.0,"47,883"
494,13183,GA,3.0,"53,841"
495,13185,GA,4.1,"48,864"
496,13187,GA,2.8,"63,822"
497,13189,GA,5.2,"48,392"
498,13191,GA,3.7,"48,097"
499,13193,GA,6.3,"35,997"
500,13195,GA,3.1,"50,619"
501,13197,GA,3.6,"46,792"
502,13199,GA,5.3,"45,095"
503,13201,GA,3.0,"51,855"
504,13205,GA,5.0,"38,256"
505,13207,GA,3.1,"65,599"
506,13209,GA,4.1,"47,074"
507,13211,GA,3.2,"68,343"
508,13213,GA,4.3,"58,761"
509,13215,GA,5.3,"44,959"
510,13217,GA,4.4,"62,183"
511,13219,GA,2.2,"104,519"
512,13221,GA,2.9,"55,678"
513,13223,GA,3.0,"77,755"
514,13225,GA,4.7,"51,531"
515,13227,GA,2.8,"69,781"
516,13229,GA,3.1,"51,696"
517,13231,GA,2.8,"64,986"
518,13233,GA,3.6,"51,040"
519,13235,GA,3.6,"44,019"
520,13237,GA,4.0,"56,104"
521,13239,GA,4.9,"37,735"
522,13241,GA,3.1,"53,038"
523,13243,GA,5.2,"36,064"
524,13245,GA,5.3,"43,942"
525,13247,GA,4.6,"61,332"
526,13249,GA,3.7,"53,163"
527,13251,GA,5.6,"44,061"
528,13253,GA,3.7,"41,778"
529,13255,GA,4.7,"51,019"
530,13257,GA,4.3,"46,626"
531,13259,GA,3.8,"40,205"
532,13261,GA,5.7,"42,653"
533,13263,GA,4.5,"44,458"
534,13265,GA,5.0,"28,004"
535,13267,GA,3.2,"45,191"
536,13269,GA,5.7,"38,783"
537,13271,GA,7.2,"38,161"
538,13273,GA,6.2,"39,433"
539,13275,GA,4.2,"57,969"
540,13277,GA,3.4,"45,093"
541,13279,GA,4.5,"42,165"
542,13281,GA,3.9,"43,640"
543,13283,GA,4.3,"40,834"
544,13285,GA,4.4,"51,799"
545,13287,GA,6.4,"46,042"
546,13289,GA,5.1,"46,444"
547,13291,GA,2.7,"50,653"
548,13293,GA,4.0,"48,233"
549,13295,GA,3.1,"49,388"
550,13297,GA,3.2,"71,390"
551,13299,GA,3.7,"39,994"
552,13301,GA,4.7,"40,422"
553,13303,GA,5.0,"43,309"
554,13305,GA,3.7,"48,885"
555,13307,GA,4.4,"45,381"
556,13309,GA,5.5,"36,671"
557,13311,GA,2.5,"58,831"
558,13313,GA,3.9,"56,249"
559,13315,GA,4.6,"40,856"
560,13317,GA,4.7,"42,071"
561,13319,GA,4.2,"44,068"
562,13321,GA,4.0,"47,907"
563,15000,HI,5.7,"86,878"
564,15001,HI,5.5,"70,313"
565,15003,HI,5.3,"89,584"
566,15007,HI,7.8,"80,517"
567,15009,HI,7.3,"80,763"
568,16000,ID,3.6,"62,603"
569,16001,ID,3.3,"73,324"
570,16003,ID,6.6,"49,967"
571,16005,ID,3.6,"54,538"
572,16007,ID,3.0,"55,689"
573,16009,ID,5.6,"53,014"
574,16011,ID,3.2,"65,658"
575,16013,ID,3.6,"76,301"
576,16015,ID,5.4,"55,583"
577,16017,ID,4.8,"55,241"
578,16019,ID,2.9,"67,294"
579,16021,ID,4.4,"52,193"
580,16023,ID,3.8,"52,081"
581,16025,ID,3.4,"59,409"
582,16027,ID,4.0,"57,886"
583,16029,ID,3.1,"63,719"
584,16031,ID,2.9,"64,591"
585,16033,ID,3.2,"52,182"
586,16035,ID,6.5,"45,377"
587,16037,ID,4.7,"53,278"
588,16039,ID,3.7,"49,450"
589,16041,ID,2.5,"65,396"
590,16043,ID,2.9,"58,658"
591,16045,ID,4.1,"60,526"
592,16047,ID,3.1,"57,728"
593,16049,ID,4.9,"51,201"
594,16051,ID,2.7,"66,806"
595,16053,ID,3.3,"57,342"
596,16055,ID,4.3,"66,959"
597,16057,ID,3.3,"59,834"
598,16059,ID,5.3,"48,908"
599,16061,ID,5.7,"52,255"
600,16063,ID,4.4,"58,806"
601,16065,ID,2.2,"53,727"
602,16067,ID,3.1,"56,022"
603,16069,ID,3.3,"57,839"
604,16071,ID,2.5,"69,357"
605,16073,ID,4.3,"53,910"
606,16075,ID,4.0,"60,177"
607,16077,ID,3.8,"45,404"
608,16079,ID,6.6,"44,336"
609,16081,ID,2.9,"74,935"
610,16083,ID,3.6,"54,995"
611,16085,ID,5.3,"62,600"
612,16087,ID,4.4,"49,186"
613,17000,IL,6.1,"71,243"
614,17001,IL,3.9,"57,434"
615,17003,IL,8.1,"38,315"
616,17005,IL,4.6,"58,209"
617,17007,IL,8.5,"82,318"
618,17009,IL,2.5,"52,277"
619,17011,IL,5.0,"57,728"
620,17013,IL,4.8,"61,648"
621,17015,IL,4.2,"53,965"
622,17017,IL,4.9,"54,205"
623,17019,IL,4.8,"64,387"
624,17021,IL,5.4,"56,656"
625,17023,IL,5.0,"59,633"
626,17025,IL,5.5,"59,602"
627,17027,IL,3.4,"71,883"
628,17029,IL,5.1,"46,900"
629,17031,IL,7.0,"71,611"
630,17033,IL,5.0,"57,632"
631,17035,IL,4.2,"68,683"
632,17037,IL,5.6,"68,546"
633,17039,IL,4.9,"65,526"
634,17041,IL,3.7,"63,003"
635,17043,IL,4.5,"92,101"
636,17045,IL,4.0,"52,668"
637,17047,IL,5.1,"55,832"
638,17049,IL,3.9,"65,172"
639,17051,IL,5.1,"49,030"
640,17053,IL,4.4,"58,478"
641,17055,IL,6.6,"49,834"
642,17057,IL,5.7,"48,828"
643,17059,IL,6.1,"44,282"
644,17061,IL,4.6,"51,242"
645,17063,IL,5.3,"74,935"
646,17065,IL,4.3,"49,302"
647,17067,IL,4.3,"54,076"
648,17069,IL,6.7,"39,674"
649,17071,IL,4.0,"58,577"
650,17073,IL,4.9,"63,859"
651,17075,IL,4.7,"53,633"
652,17077,IL,5.4,"45,608"
653,17079,IL,4.3,"57,969"
654,17081,IL,6.2,"58,114"
655,17083,IL,4.4,"69,341"
656,17085,IL,4.4,"56,446"
657,17087,IL,6.0,"51,607"
658,17089,IL,5.9,"83,784"
659,17091,IL,6.5,"57,413"
660,17093,IL,4.7,"97,263"
661,17095,IL,6.6,"52,881"
662,17097,IL,5.3,"100,325"
663,17099,IL,6.0,"62,714"
664,17101,IL,6.1,"47,408"
665,17103,IL,4.5,"64,310"
666,17105,IL,4.9,"66,274"
667,17107,IL,4.8,"65,255"
668,17109,IL,4.9,"52,155"
669,17111,IL,4.7,"89,730"
670,17113,IL,4.6,"71,919"
671,17115,IL,7.7,"57,601"
672,17117,IL,4.5,"53,312"
673,17119,IL,4.9,"63,903"
674,17121,IL,5.8,"52,019"
675,17123,IL,5.6,"54,022"
676,17125,IL,5.4,"53,503"
677,17127,IL,5.8,"49,054"
678,17129,IL,4.1,"69,749"
679,17131,IL,4.9,"62,857"
680,17133,IL,3.1,"90,880"
681,17135,IL,5.4,"59,497"
682,17137,IL,5.0,"54,764"
683,17139,IL,3.5,"61,022"
684,17141,IL,5.8,"71,470"
685,17143,IL,7.2,"53,506"
686,17145,IL,5.8,"55,132"
687,17147,IL,4.0,"69,521"
688,17149,IL,4.1,"48,815"
689,17151,IL,5.1,"49,071"
690,17153,IL,9.3,"40,481"
691,17155,IL,5.0,"70,070"
692,17157,IL,4.3,"56,867"
693,17159,IL,4.3,"56,900"
694,17161,IL,5.6,"58,022"
695,17163,IL,6.1,"61,863"
696,17165,IL,6.6,"45,793"
697,17167,IL,5.5,"60,541"
698,17169,IL,3.9,"53,686"
699,17171,IL,5.1,"59,285"
700,17173,IL,4.2,"64,508"
701,17175,IL,5.5,"54,219"
702,17177,IL,5.5,"57,952"
703,17179,IL,5.0,"69,874"
704,17181,IL,5.7,"55,736"
705,17183,IL,6.5,"49,678"
706,17185,IL,4.5,"56,190"
707,17187,IL,4.6,"57,964"
708,17189,IL,3.0,"69,386"
709,17191,IL,4.7,"49,649"
710,17193,IL,5.0,"46,080"
711,17195,IL,4.8,"64,413"
712,17197,IL,5.7,"90,349"
713,17199,IL,5.5,"59,174"
714,17201,IL,8.4,"54,971"
715,17203,IL,4.0,"72,980"
716,18000,IN,3.6,"60,794"
717,18001,IN,2.2,"58,602"
718,18003,IN,3.7,"61,039"
719,18005,IN,2.9,"70,545"
720,18007,IN,2.7,"59,663"
721,18009,IN,3.7,"49,105"
722,18011,IN,2.1,"92,302"
723,18013,IN,3.2,"70,930"
724,18015,IN,2.9,"62,388"
725,18017,IN,3.6,"50,419"
726,18019,IN,3.2,"65,555"
727,18021,IN,3.6,"56,422"
728,18023,IN,2.8,"59,503"
729,18025,IN,3.7,"46,884"
730,18027,IN,2.3,"53,101"
731,18029,IN,3.0,"73,459"
732,18031,IN,2.8,"61,561"
733,18033,IN,2.7,"62,411"
734,18035,IN,3.9,"46,612"
735,18037,IN,2.4,"64,120"
736,18039,IN,2.5,"66,801"
737,18041,IN,4.4,"53,616"
738,18043,IN,2.8,"70,610"
739,18045,IN,2.9,"55,627"
740,18047,IN,2.7,"71,828"
741,18049,IN,3.3,"55,895"
742,18051,IN,2.5,"59,074"
743,18053,IN,3.7,"49,788"
744,18055,IN,3.4,"55,213"
745,18057,IN,2.2,"96,359"
746,18059,IN,2.6,"77,916"
747,18061,IN,2.7,"62,082"
748,18063,IN,2.5,"86,905"
749,18065,IN,3.2,"54,002"
750,18067,IN,6.2,"59,309"
751,18069,IN,3.0,"59,252"
752,18071,IN,3.0,"62,415"
753,18073,IN,3.5,"70,662"
754,18075,IN,2.7,"42,504"
755,18077,IN,3.1,"55,588"
756,18079,IN,3.7,"60,526"
757,18081,IN,2.6,"76,868"
758,18083,IN,2.8,"44,842"
759,18085,IN,2.7,"62,269"
760,18087,IN,2.0,"72,513"
761,18089,IN,6.1,"59,158"
762,18091,IN,5.1,"63,999"
763,18093,IN,3.5,"63,904"
764,18095,IN,4.1,"51,718"
765,18097,IN,4.4,"56,185"
766,18099,IN,2.7,"57,657"
767,18101,IN,2.5,"46,486"
768,18103,IN,4.4,"54,439"
769,18105,IN,2.9,"61,808"
770,18107,IN,2.6,"58,867"
