fips,ST,lat,lng,population
39007,OH,41.7074,-80.7483,97416
19169,IA,42.0362,-93.465,97355
19061,IA,42.4688,-90.8825,97193
1083,AL,34.8101,-86.9814,96921
53025,WA,47.2057,-119.4517,96648
6101,CA,39.0346,-121.6948,96315
48231,TX,33.1236,-96.0855,96202
1095,AL,34.367,-86.3066,96137
27141,MN,45.4439,-93.7746,96015
36101,NY,42.2678,-77.3838,95843
38015,ND,46.9775,-100.4687,95509
45057,SC,34.6867,-80.7054,95378
51740,VA,36.8468,-76.354,94961
47119,TN,35.6169,-87.077,94615
37127,NC,35.9673,-77.9864,94287
51161,VA,37.2693,-80.068,94103
53021,WA,46.5347,-118.8989,93681
39055,OH,41.4995,-81.1786,93657
48037,TX,33.4458,-94.4234,93622
21037,KY,38.9465,-84.3795,93608
19155,IA,41.3366,-95.5423,93478
54011,WV,38.4203,-82.2417,93328
13297,GA,33.7816,-83.7339,93284
1077,AL,34.9014,-87.654,92870
34009,NJ,39.1496,-74.8002,92701
26055,MI,44.6688,-85.5605,92640
41003,OR,44.4918,-123.4293,92168
39157,OH,40.4409,-81.4738,92165
24009,MD,38.5434,-76.5687,92094
21151,KY,37.7202,-84.278,92090
40131,OK,36.3715,-95.6043,92052
48469,TX,28.7963,-96.9715,92044
51800,VA,36.6953,-76.6398,91383
42097,PA,40.8519,-76.7095,91234
37157,NC,36.396,-79.775,91051
19049,IA,41.6849,-94.0398,90418
33009,NH,43.9407,-71.8208,90331
13247,GA,33.6543,-84.0266,90155
37023,NC,35.7496,-81.7048,90148
36117,NY,43.1566,-77.0294,90103
55109,WI,45.034,-92.4526,89702
55089,WI,43.384,-87.951,89179
1115,AL,33.7157,-86.3146,88929
13095,GA,31.5334,-84.2163,88696
51069,VA,39.2046,-78.2626,88054
26087,MI,43.0901,-83.2218,87975
29021,MO,39.6598,-94.8059,87904
55027,WI,43.4163,-88.7075,87569
29043,MO,36.9696,-93.1889,87324
48005,TX,31.2548,-94.6119,87119
6045,CA,39.4402,-123.3915,87110
41033,OR,42.3655,-123.5555,87097
45075,SC,33.439,-80.8003,86953
48021,TX,30.1036,-97.312,86839
16005,ID,42.6685,-112.2246,86742
16083,ID,42.356,-114.6672,86198
48291,TX,30.1516,-94.8122,86173
42073,PA,40.9912,-80.3347,86148
39119,OH,39.9654,-81.9444,86033
12089,FL,30.6107,-81.8016,85762
28081,MS,34.2899,-88.6804,85304
42039,PA,41.6847,-80.1062,85074
13127,GA,31.2309,-81.5407,85008
55055,WI,43.0208,-88.7759,84837
41053,OR,44.9035,-123.4132,84730
37109,NC,35.4856,-81.2235,84580
42063,PA,40.652,-79.0876,84463
54107,WV,39.2112,-81.515,84387
53029,WA,48.163,-122.5481,84187
36015,NY,42.1412,-76.76,84115
48361,TX,30.1213,-93.8939,83776
26111,MI,43.6468,-84.3881,83445
1043,AL,34.1319,-86.8676,83345
18005,IN,39.206,-85.8976,83280
22097,LA,30.5989,-92.0058,82786
44005,RI,41.5566,-71.2365,82731
18067,IN,40.4836,-86.1169,82486
37027,NC,35.953,-81.5464,82056
48213,TX,32.2119,-95.8536,81969
40119,OK,36.0773,-96.9756,81912
37195,NC,35.7051,-77.9187,81579
30013,MT,47.308,-111.347,81576
1051,AL,32.5966,-86.1491,81526
20103,KS,39.1993,-95.038,81499
13013,GA,33.9932,-83.7127,81294
51165,VA,38.512,-78.8758,81138
51680,VA,37.4003,-79.1909,80970
21029,KY,37.9701,-85.6959,80921
